"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","220uF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C2","1","100nF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C3,C4","2","47µF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C5,C6","2","10µF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"J1,J2","2","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~"
"L1","1","11uH","","","","Inductor_THT:L_Radial_D6.0mm_P4.00mm","~"
"R1","1","85k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~"
"R2,R4","2","10k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~"
"R3","1","100k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~"
"U1","1","LMR51450SDRRR","","","","LMR51450SDRRR:CONV_LMR51450SDRRR",""
